path	sentence
common_voice_id_19051299.mp3	john mewakili kelasnya di perlombaan renang
common_voice_id_19051301.mp3	seperti apa wawancara anda
common_voice_id_19051302.mp3	dia meninggal dunia kemarin siang
common_voice_id_19051304.mp3	apakah ini sangat sakit
common_voice_id_19051308.mp3	seperti ayah seperti anak
common_voice_id_19051309.mp3	dia mencoba berhenti merokok
common_voice_id_19051310.mp3	sampai jatuh ke dalam kolam
common_voice_id_19051311.mp3	kakak perempuan saya akan menikah pada musim semi tahun depan
common_voice_id_19051312.mp3	apakah kamu sering menangis
common_voice_id_19062442.mp3	apa kamu merasa bersalah
common_voice_id_19062443.mp3	di kelas ada komputer baru
common_voice_id_19062444.mp3	dia menulis surat untuk ibunya
common_voice_id_19062445.mp3	tak ada yang dapat merusak persahabatan sejati
common_voice_id_19062446.mp3	masakan perancis dimakan dengan menggunakan pisau dan garpu
common_voice_id_19080908.mp3	aku sedang berbicara tentang diriku
common_voice_id_19080909.mp3	tidak banyak kendaraan yang melintas
common_voice_id_19080910.mp3	tiada kata terlambat untuk belajar
common_voice_id_19080911.mp3	pulang pergi hanya sekali jalan
common_voice_id_19080912.mp3	dia ingin menjadi seorang penyanyi
common_voice_id_19165773.mp3	aku sudah mencapai batas ku
common_voice_id_19165774.mp3	setelah memberikan kuliah ia mengadakan wawancara dengan beberapa murid
common_voice_id_19165775.mp3	di atas meja ada buku
common_voice_id_19165776.mp3	terkadang ia berperilaku aneh
common_voice_id_19165777.mp3	saya tidak dapat pergi
common_voice_id_19197513.mp3	pegawai bank di loket kebanyakan wanita
common_voice_id_19197516.mp3	menyiapkan makan malam sendiri
common_voice_id_19197517.mp3	saya setiap pagi minum kopi
common_voice_id_19197519.mp3	ini buku tulis saya
common_voice_id_19197521.mp3	kamu terlalu tua untuk melakukan hal semacam ini
common_voice_id_19197522.mp3	tanaka bisa tenis
common_voice_id_19197523.mp3	belajar bahasa tidaklah mudah
common_voice_id_19197524.mp3	empat sehat lima sempurna
common_voice_id_19197525.mp3	di sini tempat yang sangat ramai
common_voice_id_19197526.mp3	kemanapun kau pergi aku ikut
common_voice_id_19197527.mp3	pedang itu terbelah menjadi dua
common_voice_id_19197528.mp3	hari ini saya banyak pejalan kaki
common_voice_id_19197529.mp3	karena tidak tahu jalan saya melihat peta
common_voice_id_19197530.mp3	harga motor gede itu sungguh fantastis
common_voice_id_19197532.mp3	saya menyerahkan tas yang terletak di samping saya ke pak matsui
common_voice_id_19197533.mp3	saya belajar pada buku
common_voice_id_19197534.mp3	saya tidak dapat memahami orang yang memakan makanan sarapan untuk makan malam
common_voice_id_19197535.mp3	ketika datang ke jepang saya mengambil foto di bandara
common_voice_id_19197536.mp3	beberapa orang berpikir makan di rumah lebih baik bagimu daripada makandua
common_voice_id_19197543.mp3	pdam merupakan akronim dari perusahaan daerah air minum
common_voice_id_19197544.mp3	setelah tamat sekolah saya ingin menjadi penata rambut
common_voice_id_19197545.mp3	saya setuju dengan dia
common_voice_id_19197546.mp3	seorang wanita yang menanyakan jalan padaku
common_voice_id_19197548.mp3	saya rasa saya telah salah menilai
common_voice_id_19197550.mp3	dapatkah dia berbicara bahasa inggris
common_voice_id_19197552.mp3	kobayashi memakai baju biru
common_voice_id_19197554.mp3	peraturan naik pesawat dengan selam
common_voice_id_19197556.mp3	saya sudah tidak bisa berkata apa-apa
common_voice_id_19197562.mp3	tom meninggal dengan wajah
common_voice_id_19197563.mp3	mengapa kita tidak pulang
common_voice_id_19197564.mp3	saya mengembalikan buku ke perpustakaan
common_voice_id_19197565.mp3	saya harus mengerjakan pekerjaan ini dalam waktu singkat
common_voice_id_19197567.mp3	ini merupakan sebuah masalah bagaimanapun kau melihatnya
common_voice_id_19197568.mp3	bukankah tom sungguh menyukai berenang
common_voice_id_19197569.mp3	film yang bagaimana
common_voice_id_19197571.mp3	waktunya telah tiba kita bisa menjelajah ruang angkasa
common_voice_id_19197575.mp3	kalau tombol yang ditekan pintu akan terbuka
common_voice_id_19197577.mp3	saya tidak sedang mencoba menjadi pemalas
common_voice_id_19197578.mp3	para sopir itu mulai berdebat siapa yang salah dalam kecelakaan itu
common_voice_id_19197580.mp3	ini hadiah untuk teman-temanku
common_voice_id_19197581.mp3	saya di teheran
common_voice_id_19197582.mp3	saya menikahi istri saya lima tahun lalu
common_voice_id_19197583.mp3	bolehkah saya mengunjungimu sore ini atau besok sore
common_voice_id_19197584.mp3	berapa lama waktu yang dibutuhkan
common_voice_id_19197585.mp3	sepatu mu ada di sini
common_voice_id_19197586.mp3	biarkan aku berpikir selama berapa hari
common_voice_id_19197592.mp3	mari naik kereta bawah tanah
common_voice_id_19197594.mp3	kucing itu tertidur pulas
common_voice_id_19197596.mp3	kau menyukai sains fiksi
common_voice_id_19197598.mp3	dia marah pada anaknya
common_voice_id_19197602.mp3	barang ini berat karena beratnya lima kilogram
common_voice_id_19197605.mp3	saya keluar memakai topi saat hari panas
common_voice_id_19197617.mp3	walaupun sudah pukul dua belas malam saya tetap belajar
common_voice_id_19197618.mp3	suka makanan indonesia
common_voice_id_19197619.mp3	saya akan mengambil jemuran sebelum punya
common_voice_id_19197620.mp3	sekarang aku bebas
common_voice_id_19197627.mp3	aku mau lihat dari jendela garasi kejut pada apa yang aku lihat
common_voice_id_19197628.mp3	pak li tinggal di jepang sendirian
common_voice_id_19197629.mp3	kamu mungkin tidak tahu jika kita di sini
common_voice_id_19197631.mp3	aku ingin mengajarimu sesuatu
common_voice_id_19197637.mp3	saya kira kereta lebih cepat daripada bus sampai ke sekolah
common_voice_id_19197638.mp3	perempuan itu sangat mencintaimu
common_voice_id_19315799.mp3	aku merindukanmu
common_voice_id_19315800.mp3	tak mungkin akan berubah pikiran nanti
common_voice_id_19315801.mp3	orang inggris terbiasa untuk berdiri untuk mengantri
common_voice_id_19315802.mp3	makanlah
common_voice_id_19315803.mp3	mari ingin menjadi seorang pengajar
common_voice_id_19315804.mp3	musim panas di jepang sangat panas
common_voice_id_19315805.mp3	niat mengantarkan murid ke sekolah
common_voice_id_19315806.mp3	aku ingin tidur
common_voice_id_19315807.mp3	di mana anda menangkap mereka
common_voice_id_19315808.mp3	sabang adalah kota paling barat di indonesia
common_voice_id_19316587.mp3	saya minum air satu gelas lagi
common_voice_id_19316588.mp3	saya bermaksud belajar di perpustakaan tetapi tutup
common_voice_id_19316589.mp3	saya tidak mengerti bagaimana bisa anda menolak ini
common_voice_id_19316590.mp3	kita semua berbicara dengan bahasa inggris
common_voice_id_19316591.mp3	sepertinya pesawat terlambat
common_voice_id_19316592.mp3	supermarket di sana juga buka pada malam hari
common_voice_id_19316593.mp3	saya tahu anda telah menunggu lama tapi bisakah anda menunggu sebentar lagi
common_voice_id_19316594.mp3	apakah kau telah melupakanku
common_voice_id_19316595.mp3	ibu kebaya sin b suka celana daripada rok
common_voice_id_19316596.mp3	apakah ibumu di rumah
common_voice_id_19376535.mp3	ini yang dilakukan meri untuk hidup
common_voice_id_19376536.mp3	jangan tanya aku
common_voice_id_19376538.mp3	minggu depan saya pergi ke situ saya akan membeli dan membawa minuman
common_voice_id_19376539.mp3	sama andri menolak memberikan wawancara pada wartawan
common_voice_id_19376930.mp3	tompi janji padaku bahwa dia akan melakukannya
common_voice_id_19376931.mp3	jaket ini praktis karena sakunya ada banyak
common_voice_id_19376932.mp3	iya mendengarkan musik di kamarnya
